ID,Código,Nome,GTIN,SKU,Marca,Descrição
330,"UN120VD_LAB","LABOR CB DE POT²NCIA 120mm² 0,6/1KV NBR 7285","7896819203304","SKU-UN120VD_LAB","Labor Energy","LABOR CB DE POT²NCIA 120mm² 0,6/1KV NBR 7285"
105,"UN120_ALU","ALUFORCE CB DE POT²NCIA 120mm² 0,6/1KV NBR 7285","7896819201058","SKU-UN120_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 120mm² 0,6/1KV NBR 7285"
268,"UN120_LAB","LABOR CB DE POT²NCIA 120mm² 0,6/1KV NBR 7285","7896819202680","SKU-UN120_LAB","Labor Energy","LABOR CB DE POT²NCIA 120mm² 0,6/1KV NBR 7285"
106,"UN150_ALU","ALUFORCE CB DE POT²NCIA 150mm² 0,6/1KV NBR 7285","7896819201065","SKU-UN150_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 150mm² 0,6/1KV NBR 7285"
269,"UN150_LAB","LABOR CB DE POT²NCIA 150mm² 0,6/1KV NBR 7285","7896819202697","SKU-UN150_LAB","Labor Energy","LABOR CB DE POT²NCIA 150mm² 0,6/1KV NBR 7285"
259,"UN16AZ_LAB","LABOR CB DE POT²NCIA 16mm² 0,6/1KV NBR 7285","7896819202598","SKU-UN16AZ_LAB","Labor Energy","LABOR CB DE POT²NCIA 16mm² 0,6/1KV NBR 7285"
261,"UN16CZ_LAB","LABOR CB DE POT²NCIA 16mm² 0,6/1KV NBR 7287","7896819202611","SKU-UN16CZ_LAB","Labor Energy","LABOR CB DE POT²NCIA 16mm² 0,6/1KV NBR 7287"
325,"UN16F1_LAB","FASE 1","7896819203250","SKU-UN16F1_LAB","Labor Energy","FASE 1"
326,"UN16F2_LAB","FASE 2","7896819203267","SKU-UN16F2_LAB","Labor Energy","FASE 2"
327,"UN16F3_LAB","FASE 3","7896819203274","SKU-UN16F3_LAB","Labor Energy","FASE 3"
324,"UN16M_LAB","MATRIX 16mm² AL XLPE CA 0,6/1kV 2025 NBR 8182","7896819203243","SKU-UN16M_LAB","Labor Energy","MATRIX 16mm² AL XLPE CA 0,6/1kV 2025 NBR 8182"
328,"UN16NE_LAB","NEUTRO","7896819203281","SKU-UN16NE_LAB","Labor Energy","NEUTRO"
260,"UN16VM_LAB","LABOR CB DE POT²NCIA 16mm² 0,6/1KV NBR 7286","7896819202604","SKU-UN16VM_LAB","Labor Energy","LABOR CB DE POT²NCIA 16mm² 0,6/1KV NBR 7286"
99,"UN16_ALU","ALUFORCE CB DE POT²NCIA 16mm² 0,6/1KV NBR 7285","7896819200990","SKU-UN16_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 16mm² 0,6/1KV NBR 7285"
258,"UN16_LAB","LABOR CB DE POT²NCIA 16mm² 0,6/1KV NBR 7285","7896819202581","SKU-UN16_LAB","Labor Energy","LABOR CB DE POT²NCIA 16mm² 0,6/1KV NBR 7285"
107,"UN185_ALU","ALUFORCE CB DE POT²NCIA 185mm² 0,6/1KV NBR 7285","7896819201072","SKU-UN185_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 185mm² 0,6/1KV NBR 7285"
270,"UN185_LAB","LABOR CB DE POT²NCIA 185mm² 0,6/1KV NBR 7285","7896819202703","SKU-UN185_LAB","Labor Energy","LABOR CB DE POT²NCIA 185mm² 0,6/1KV NBR 7285"
108,"UN240_ALU","ALUFORCE CB DE POT²NCIA 240mm² 0,6/1KV NBR 7285","7896819201089","SKU-UN240_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 240mm² 0,6/1KV NBR 7285"
271,"UN240_LAB","LABOR CB DE POT²NCIA 240mm² 0,6/1KV NBR 7285","7896819202710","SKU-UN240_LAB","Labor Energy","LABOR CB DE POT²NCIA 240mm² 0,6/1KV NBR 7285"
100,"UN25_ALU","ALUFORCE CB DE POT²NCIA 25mm² 0,6/1KV NBR 7285","7896819201003","SKU-UN25_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 25mm² 0,6/1KV NBR 7285"
262,"UN25_LAB","LABOR CB DE POT²NCIA 25mm² 0,6/1KV NBR 7285","7896819202628","SKU-UN25_LAB","Labor Energy","LABOR CB DE POT²NCIA 25mm² 0,6/1KV NBR 7285"
101,"UN35_ALU","ALUFORCE CB DE POT²NCIA 35mm² 0,6/1KV NBR 7285","7896819201010","SKU-UN35_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 35mm² 0,6/1KV NBR 7285"
263,"UN35_LAB","LABOR CB DE POT²NCIA 35mm² 0,6/1KV NBR 7285","7896819202635","SKU-UN35_LAB","Labor Energy","LABOR CB DE POT²NCIA 35mm² 0,6/1KV NBR 7285"
102,"UN50_ALU","ALUFORCE CB DE POT²NCIA 50mm² 0,6/1KV NBR 7285","7896819201027","SKU-UN50_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 50mm² 0,6/1KV NBR 7285"
264,"UN50_LAB","LABOR CB DE POT²NCIA 50mm² 0,6/1KV NBR 7285","7896819202642","SKU-UN50_LAB","Labor Energy","LABOR CB DE POT²NCIA 50mm² 0,6/1KV NBR 7285"
103,"UN70_ALU","ALUFORCE CB DE POT²NCIA 70mm² 0,6/1KV NBR 7285","7896819201034","SKU-UN70_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 70mm² 0,6/1KV NBR 7285"
265,"UN70_LAB","LABOR CB DE POT²NCIA 70mm² 0,6/1KV NBR 7285","7896819202659","SKU-UN70_LAB","Labor Energy","LABOR CB DE POT²NCIA 70mm² 0,6/1KV NBR 7285"
266,"UN95M_LAB","MATRIX 95mm² AL XLPE CA 0,6/1 kV 2025 NBR 8182","7896819202666","SKU-UN95M_LAB","Labor Energy","MATRIX 95mm² AL XLPE CA 0,6/1 kV 2025 NBR 8182"
104,"UN95_ALU","ALUFORCE CB DE POT²NCIA 95mm² 0,6/1KV NBR 7285","7896819201041","SKU-UN95_ALU","Aluforce","ALUFORCE CB DE POT²NCIA 95mm² 0,6/1KV NBR 7285"
267,"UN95_LAB","LABOR CB DE POT²NCIA 95mm² 0,6/1KV NBR 7285","7896819202673","SKU-UN95_LAB","Labor Energy","LABOR CB DE POT²NCIA 95mm² 0,6/1KV NBR 7285"
